"","evolution.generation","evolution.evaluated","tpsAuChamp","qPrésenceBrousse","fréquenceRéu","probaDenonce","probaDiscu","nbProTGMax","objective.om_stockMil","objective.om_charette","evolution.samples","qPrésenceBrousse.1","om_underTrees","tpsAuChamp.1","participants","fréquenceRéu.1","nombreBergers","probaDiscu.1","om_nbCoupe","probaDenonce.1","mySeed","om_delatMil","SPop","om_charette","om_stockMil","nbSurveillants","nbProTGMax.1","om_trees","coordinationRNA","engagésInitiaux","nbChampsVisités","om_delatArbres","SReprez","nbCoupeurs","om_caughtCutter"
"2639",33200,33200,68.1400175682313,0.0726835301287741,4.32614170417685,61.1366242421131,83.1684406903946,34.8896018817167,50585.0567999949,34,5,"[0.07268353012877407,0.07268353012877407,0.07268353012877407,0.07268353012877407,0.07268353012877407]","[81.91000000000001,82.98,83.46000000000001,81.95,82.77]","[68.14001756823126,68.14001756823126,68.14001756823126,68.14001756823126,68.14001756823126]","[10.0,10.0,10.0,10.0,10.0]","[4.3261417041768455,4.3261417041768455,4.3261417041768455,4.3261417041768455,4.3261417041768455]","[5.0,5.0,5.0,5.0,5.0]","[83.16844069039459,83.16844069039459,83.16844069039459,83.16844069039459,83.16844069039459]","[425.0,360.0,392.0,333.0,466.0]","[61.13662424211312,61.13662424211312,61.13662424211312,61.13662424211312,61.13662424211312]","[-658467855,235559603,1030500395,-731760313,101643614]","[5905.62139999697,6235.0851999968,6172.672999996859,5066.718799997136,6700.390999996853]","[true,true,true,true,true]","[44.0,43.0,34.0,36.0,41.0]","[51165.48399999465,51902.16079999463,51790.48239999457,50585.05679999488,52061.66559999453]","[1.0,1.0,1.0,1.0,1.0]","[34.889601881716686,34.889601881716686,34.889601881716686,34.889601881716686,34.889601881716686]","[2895.0,2840.0,3143.0,3063.0,2890.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,87.0,93.0,93.0,90.0]","[2360.0,2305.0,2608.0,2528.0,2355.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[240.0,240.0,241.0,242.0,240.0]"
"2677",33200,33200,94.2897041397153,0.480763425266626,6.74681921231625,75.756548107401,49.7185703157492,27.6417081489292,51432.1599999943,38,5,"[0.48076342526662574,0.48076342526662574,0.48076342526662574,0.48076342526662574,0.48076342526662574]","[89.03999999999999,87.81,87.89,88.5,89.19]","[94.28970413971534,94.28970413971534,94.28970413971534,94.28970413971534,94.28970413971534]","[10.0,10.0,10.0,10.0,10.0]","[6.746819212316252,6.746819212316252,6.746819212316252,6.746819212316252,6.746819212316252]","[5.0,5.0,5.0,5.0,5.0]","[49.718570315749176,49.718570315749176,49.718570315749176,49.718570315749176,49.718570315749176]","[90.0,94.0,103.0,101.0,124.0]","[75.756548107401,75.756548107401,75.756548107401,75.756548107401,75.756548107401]","[1458736263,-424064799,-119646303,-945229251,1140200507]","[6327.545399996809,7306.859799996804,7330.835599996564,7817.988799996587,5993.762199996723]","[true,true,true,true,true]","[42.0,41.0,38.0,40.0,40.0]","[51617.70639999449,52340.611199994426,52781.81599999415,52458.54959999421,51432.15999999429]","[1.0,1.0,1.0,1.0,1.0]","[27.641708148929162,27.641708148929162,27.641708148929162,27.641708148929162,27.641708148929162]","[3756.0,3607.0,3617.0,3713.0,3567.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[95.0,93.0,89.0,94.0,89.0]","[3221.0,3072.0,3082.0,3178.0,3032.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[250.0,250.0,248.0,248.0,245.0]"
"2714",33200,33200,78.3326043694481,0.8048761655701,2.02289677360817,73.8337067066664,94.9923500586252,15.7850554758036,50704.4975999953,32,5,"[0.8048761655700997,0.8048761655700997,0.8048761655700997,0.8048761655700997,0.8048761655700997]","[78.82000000000001,80.03,79.94,83.28,81.69999999999999]","[78.33260436944808,78.33260436944808,78.33260436944808,78.33260436944808,78.33260436944808]","[10.0,10.0,10.0,10.0,10.0]","[2.022896773608171,2.022896773608171,2.022896773608171,2.022896773608171,2.022896773608171]","[5.0,5.0,5.0,5.0,5.0]","[94.99235005862523,94.99235005862523,94.99235005862523,94.99235005862523,94.99235005862523]","[65.0,92.0,61.0,79.0,72.0]","[73.83370670666636,73.83370670666636,73.83370670666636,73.83370670666636,73.83370670666636]","[-728761924,-1786295658,136846583,-85293930,1452643800]","[5541.852799997658,6011.978799997487,6789.8463999974265,6496.440199996927,6012.980399997519]","[true,true,true,true,true]","[35.0,39.0,42.0,37.0,32.0]","[50704.49759999531,51500.01839999513,51592.91679999507,52005.07519999464,50857.7423999951]","[1.0,1.0,1.0,1.0,1.0]","[15.785055475803583,15.785055475803583,15.785055475803583,15.785055475803583,15.785055475803583]","[2258.0,2354.0,2419.0,2293.0,2411.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,92.0,94.0,88.0,88.0]","[1723.0,1819.0,1884.0,1758.0,1876.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[250.0,248.0,249.0,250.0,250.0]"
"2736",33200,33200,85.7147262749036,0.454987727781115,4.72956984318571,40.7074459755218,94.492504937272,20.8223959353827,49716.1687999949,24,6,"[0.4549877277811147,0.4549877277811147,0.4549877277811147,0.4549877277811147,0.4549877277811147,0.4549877277811147]","[82.88,85.50999999999999,82.62,84.65,84.78,84.24000000000001]","[85.71472627490363,85.71472627490363,85.71472627490363,85.71472627490363,85.71472627490363,85.71472627490363]","[10.0,10.0,10.0,10.0,10.0,10.0]","[4.729569843185715,4.729569843185715,4.729569843185715,4.729569843185715,4.729569843185715,4.729569843185715]","[5.0,5.0,5.0,5.0,5.0,5.0]","[94.492504937272,94.492504937272,94.492504937272,94.492504937272,94.492504937272,94.492504937272]","[272.0,221.0,285.0,242.0,309.0,292.0]","[40.707445975521836,40.707445975521836,40.707445975521836,40.707445975521836,40.707445975521836,40.707445975521836]","[2077287876,-1537509439,-1981009607,290106842,1448692349,-270142910]","[5686.270999997265,6369.487399996957,5477.875599997089,4039.76579999736,6325.29179999722,7262.225999996808]","[true,true,true,true,true,true]","[27.0,42.0,24.0,46.0,36.0,33.0]","[50110.79919999489,50966.66639999472,50653.41599999481,49716.16879999489,51358.041599994736,52319.327199994535]","[1.0,1.0,1.0,1.0,1.0,1.0]","[20.822395935382723,20.822395935382723,20.822395935382723,20.822395935382723,20.822395935382723,20.822395935382723]","[2877.0,2939.0,2848.0,2889.0,2833.0,2898.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[91.0,94.0,95.0,92.0,88.0,95.0]","[2342.0,2404.0,2313.0,2354.0,2298.0,2363.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[242.0,243.0,240.0,242.0,243.0,245.0]"
"2741",33200,33200,89.0094162388317,0.191143588339113,3.39134447105906,37.0774401210868,67.4181728480744,33.5643301557243,42770.3231999979,25,7,"[0.19114358833911327,0.19114358833911327,0.19114358833911327,0.19114358833911327,0.19114358833911327,0.19114358833911327,0.19114358833911327]","[72.56,83.77,38.17,79.67,48.49,84.32,32.47]","[89.00941623883173,89.00941623883173,89.00941623883173,89.00941623883173,89.00941623883173,89.00941623883173,89.00941623883173]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[3.3913444710590577,3.3913444710590577,3.3913444710590577,3.3913444710590577,3.3913444710590577,3.3913444710590577,3.3913444710590577]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[67.41817284807445,67.41817284807445,67.41817284807445,67.41817284807445,67.41817284807445,67.41817284807445,67.41817284807445]","[615.0,367.0,1192.0,591.0,703.0,428.0,828.0]","[37.07744012108678,37.07744012108678,37.07744012108678,37.07744012108678,37.07744012108678,37.07744012108678,37.07744012108678]","[324669288,-173509992,1872032723,-1572331793,1519706291,-932354290,-776677509]","[4789.964199997878,6403.291399997062,-91.64639999986684,4910.40659999731,2044.0151999993686,5212.827199997097,-1841.8171999998376]","[true,true,true,true,true,true,true]","[42.0,25.0,43.0,30.0,41.0,43.0,47.0]","[50828.19519999563,51208.55279999472,45353.9503999979,50379.4783999951,47544.6999999971,50819.68159999478,42770.323199997896]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[33.56433015572426,33.56433015572426,33.56433015572426,33.56433015572426,33.56433015572426,33.56433015572426,33.56433015572426]","[1687.0,3313.0,405.0,2530.0,807.0,3564.0,323.0]","[true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[89.0,95.0,90.0,90.0,90.0,94.0,90.0]","[1152.0,2778.0,-130.0,1995.0,272.0,3029.0,-212.0]","[false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[192.0,240.0,170.0,210.0,163.0,240.0,165.0]"
"2751",33200,33200,72.7941355470804,0.133250867774163,5.57680416057693,37.9462367238084,86.1103146632329,22.991336790734,50060.2183999949,32,5,"[0.13325086777416276,0.13325086777416276,0.13325086777416276,0.13325086777416276,0.13325086777416276]","[79.89,80.66,82.50999999999999,82.23,80.31]","[72.79413554708043,72.79413554708043,72.79413554708043,72.79413554708043,72.79413554708043]","[10.0,10.0,10.0,10.0,10.0]","[5.576804160576928,5.576804160576928,5.576804160576928,5.576804160576928,5.576804160576928]","[5.0,5.0,5.0,5.0,5.0]","[86.11031466323293,86.11031466323293,86.11031466323293,86.11031466323293,86.11031466323293]","[625.0,570.0,572.0,542.0,482.0]","[37.94623672380844,37.94623672380844,37.94623672380844,37.94623672380844,37.94623672380844]","[-1923040346,-1527617149,-511499241,-435259808,-1112716655]","[5038.7991999974765,6162.90739999721,6465.45319999702,4903.52059999702,5542.416199997286]","[true,true,true,true,true]","[44.0,32.0,37.0,43.0,33.0]","[50332.903999995135,51123.166399994945,51015.744799994776,50060.21839999489,50939.37279999505]","[1.0,1.0,1.0,1.0,1.0]","[22.991336790734017,22.991336790734017,22.991336790734017,22.991336790734017,22.991336790734017]","[2411.0,2551.0,2616.0,2495.0,2521.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[95.0,96.0,95.0,94.0,91.0]","[1876.0,2016.0,2081.0,1960.0,1986.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[218.0,214.0,240.0,240.0,240.0]"
"2827",33200,33200,28.5055809616802,0.881434888072544,7.17445272650325,10.8628297332654,47.0489496862546,46.3262101504926,47567.4863999966,29,5,"[0.881434888072544,0.881434888072544,0.881434888072544,0.881434888072544,0.881434888072544]","[69.8,72.0,67.73,57.13,72.96000000000001]","[28.50558096168023,28.50558096168023,28.50558096168023,28.50558096168023,28.50558096168023]","[10.0,10.0,10.0,10.0,10.0]","[7.174452726503247,7.174452726503247,7.174452726503247,7.174452726503247,7.174452726503247]","[5.0,5.0,5.0,5.0,5.0]","[47.048949686254566,47.048949686254566,47.048949686254566,47.048949686254566,47.048949686254566]","[1204.0,1158.0,1191.0,1142.0,1230.0]","[10.862829733265379,10.862829733265379,10.862829733265379,10.862829733265379,10.862829733265379]","[-1876591522,1093276696,-491805814,1823388536,-1156758202]","[4743.702799998107,5935.794599997826,3947.7437999981194,2924.4841999987693,4943.6471999977]","[true,true,true,true,true]","[29.0,37.0,35.0,46.0,44.0]","[50573.28799999566,51366.55519999549,48942.43279999588,47567.48639999657,49961.560799995415]","[1.0,1.0,1.0,1.0,1.0]","[46.32621015049262,46.32621015049262,46.32621015049262,46.32621015049262,46.32621015049262]","[1368.0,1523.0,1223.0,985.0,1489.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,90.0,88.0,90.0,91.0]","[833.0,988.0,688.0,450.0,954.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[165.0,165.0,159.0,154.0,176.0]"
"2837",33200,33200,91.4316467163175,0.417744406530164,2.62649153852215,64.1181910663139,100,50,51132.1807999941,19,5,"[0.41774440653016404,0.41774440653016404,0.41774440653016404,0.41774440653016404,0.41774440653016404]","[92.84,92.72,92.54,94.23,94.25]","[91.43164671631749,91.43164671631749,91.43164671631749,91.43164671631749,91.43164671631749]","[10.0,10.0,10.0,10.0,10.0]","[2.626491538522151,2.626491538522151,2.626491538522151,2.626491538522151,2.626491538522151]","[5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0]","[152.0,131.0,143.0,130.0,138.0]","[64.11819106631388,64.11819106631388,64.11819106631388,64.11819106631388,64.11819106631388]","[1639048997,-339199541,-1078905920,1416266182,-866940042]","[8633.103399995845,7824.749599996183,6624.77019999647,7997.275199996075,8870.294799995805]","[true,true,true,true,true]","[45.0,38.0,26.0,40.0,19.0]","[53915.126399993576,53157.16559999384,51132.180799994094,53175.444799993784,53550.04319999366]","[1.0,1.0,1.0,1.0,1.0]","[50.0,50.0,50.0,50.0,50.0]","[5341.0,5473.0,5619.0,5532.0,5479.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,92.0,94.0,91.0,93.0]","[4806.0,4938.0,5084.0,4997.0,4944.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[245.0,250.0,246.0,249.0,249.0]"
"2840",33200,33200,65.6835571365275,1,3.58115585457797,83.3386932363475,100,43.6630827394311,52800.5959999938,30,5,"[1.0,1.0,1.0,1.0,1.0]","[94.17,91.83,93.84,93.46,93.91000000000001]","[65.68355713652748,65.68355713652748,65.68355713652748,65.68355713652748,65.68355713652748]","[10.0,10.0,10.0,10.0,10.0]","[3.5811558545779736,3.5811558545779736,3.5811558545779736,3.5811558545779736,3.5811558545779736]","[5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0]","[50.0,48.0,36.0,44.0,63.0]","[83.33869323634752,83.33869323634752,83.33869323634752,83.33869323634752,83.33869323634752]","[2118398907,-47858663,-297688665,196170614,-70877270]","[7621.549999995994,8315.909199996102,7552.752599996005,7172.833199996145,7889.916199996034]","[true,true,true,true,true]","[43.0,37.0,32.0,32.0,30.0]","[52924.04319999373,53051.997599993825,52813.366399993814,52856.4351999938,52800.59599999376]","[1.0,1.0,1.0,1.0,1.0]","[43.663082739431104,43.663082739431104,43.663082739431104,43.663082739431104,43.663082739431104]","[5014.0,5436.0,5475.0,5499.0,5423.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,92.0,90.0,94.0,94.0]","[4479.0,4901.0,4940.0,4964.0,4888.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[248.0,248.0,250.0,250.0,250.0]"
"2857",33200,33200,41.3323866221449,0.538178921882143,1.62628361101901,21.2561832764177,85.7123843238616,11.6544461864055,47293.0479999966,31,5,"[0.5381789218821427,0.5381789218821427,0.5381789218821427,0.5381789218821427,0.5381789218821427]","[63.160000000000004,59.98,59.58,60.06,60.25]","[41.33238662214488,41.33238662214488,41.33238662214488,41.33238662214488,41.33238662214488]","[10.0,10.0,10.0,10.0,10.0]","[1.6262836110190095,1.6262836110190095,1.6262836110190095,1.6262836110190095,1.6262836110190095]","[5.0,5.0,5.0,5.0,5.0]","[85.71238432386164,85.71238432386164,85.71238432386164,85.71238432386164,85.71238432386164]","[651.0,624.0,652.0,608.0,671.0]","[21.256183276417683,21.256183276417683,21.256183276417683,21.256183276417683,21.256183276417683]","[-1836575584,-699941688,78580427,1657267659,584780257]","[3526.4457999985098,2809.613199999003,2731.6135999989565,2289.407199998801,3949.997399999025]","[true,true,true,true,true]","[31.0,44.0,52.0,45.0,31.0]","[48415.84159999622,47578.50399999658,47687.1775999966,47293.04799999658,48585.612799996634]","[1.0,1.0,1.0,1.0,1.0]","[11.654446186405501,11.654446186405501,11.654446186405501,11.654446186405501,11.654446186405501]","[1059.0,958.0,1038.0,1023.0,1127.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[97.0,88.0,92.0,93.0,95.0]","[524.0,423.0,503.0,488.0,592.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[211.0,211.0,211.0,210.0,210.0]"
"2866",33200,33200,99.4754630380903,0.599852207039218,8.86642873909172,0,27.0414828918837,19.4246470605234,42540.706399998,39,5,"[0.5998522070392182,0.5998522070392182,0.5998522070392182,0.5998522070392182,0.5998522070392182]","[50.01,30.0,65.34,29.909999999999997,26.56]","[99.4754630380903,99.4754630380903,99.4754630380903,99.4754630380903,99.4754630380903]","[10.0,10.0,10.0,10.0,10.0]","[8.86642873909172,8.86642873909172,8.86642873909172,8.86642873909172,8.86642873909172]","[5.0,5.0,5.0,5.0,5.0]","[27.041482891883668,27.041482891883668,27.041482891883668,27.041482891883668,27.041482891883668]","[1317.0,1647.0,1067.0,1403.0,1344.0]","[0.0,0.0,0.0,0.0,0.0]","[-1095805879,1236010540,442974304,-456894733,1549319546]","[1280.5455999992628,-2000.8837999994794,3505.725199998604,-2533.6723999996466,-1569.1315999992366]","[true,true,true,true,true]","[46.0,46.0,39.0,48.0,49.0]","[46395.86479999699,43127.39359999815,49335.310399996204,42540.70639999797,43207.02079999847]","[1.0,1.0,1.0,1.0,1.0]","[19.424647060523398,19.424647060523398,19.424647060523398,19.424647060523398,19.424647060523398]","[706.0,205.0,1259.0,197.0,152.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,89.0,93.0,91.0,91.0]","[171.0,-330.0,724.0,-338.0,-383.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[203.0,121.0,145.0,119.0,92.0]"
"2947",33200,33200,35.3744120887761,0.873078016753557,7.8395194650644,82.4953218406088,29.1843942453893,45.6053697391012,50335.4079999945,29,5,"[0.8730780167535568,0.8730780167535568,0.8730780167535568,0.8730780167535568,0.8730780167535568]","[88.81,81.71000000000001,84.39999999999999,89.16,86.07000000000001]","[35.37441208877606,35.37441208877606,35.37441208877606,35.37441208877606,35.37441208877606]","[10.0,10.0,10.0,10.0,10.0]","[7.839519465064399,7.839519465064399,7.839519465064399,7.839519465064399,7.839519465064399]","[5.0,5.0,5.0,5.0,5.0]","[29.18439424538928,29.18439424538928,29.18439424538928,29.18439424538928,29.18439424538928]","[302.0,712.0,691.0,273.0,689.0]","[82.49532184060878,82.49532184060878,82.49532184060878,82.49532184060878,82.49532184060878]","[-2136455835,-1973869384,891875641,613725720,-1850621565]","[6808.000399996708,4656.87659999726,6001.774999996916,4439.904999996783,6773.445199996742]","[true,true,true,true,true]","[34.0,35.0,35.0,30.0,29.0]","[52144.54799999436,50414.534399995035,51155.2175999947,50335.40799999454,52012.58719999441]","[1.0,1.0,1.0,1.0,1.0]","[45.60536973910118,45.60536973910118,45.60536973910118,45.60536973910118,45.60536973910118]","[3869.0,2323.0,2609.0,4251.0,2913.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,89.0,93.0,88.0,92.0]","[3334.0,1788.0,2074.0,3716.0,2378.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[233.0,230.0,226.0,242.0,217.0]"
